algorithm,resolution,seed,ncom,modularity,time_s
louvain,0.5,42,38,0.5102648147274687,0.10158920000139915
louvain,0.5,7,39,0.509895139354586,0.052670699998998316
louvain,0.5,101,39,0.5101527543602017,0.05122339999979886
louvain,1.0,42,39,0.5027541607583881,0.047054999999090796
louvain,1.0,7,39,0.5079539051554653,0.047921699999278644
louvain,1.0,101,39,0.5058039182225851,0.05824610000126995
louvain,1.5,42,40,0.5092905503365734,0.04315080000014859
louvain,1.5,7,39,0.5059889689986568,0.04781430000002729
louvain,1.5,101,39,0.5051803191788279,0.03655780000008235
leiden,0.5,42,37,0.518331017249938,
leiden,0.5,7,38,0.5198066594845894,
leiden,0.5,101,36,0.5232221831877212,
leiden,1.0,42,37,0.518331017249938,
leiden,1.0,7,38,0.5198066594845894,
leiden,1.0,101,36,0.5232221831877212,
leiden,1.5,42,37,0.518331017249938,
leiden,1.5,7,38,0.5198066594845894,
leiden,1.5,101,36,0.5232221831877212,
